test,group1,group2,meandiff,p-adj,reject
Dunn,AlphaFold2,AlphaFold3,1.3955,1.0,False
Dunn,AlphaFold2,ESM3-Large,-91.7495,3.071811532542756e-15,True
Dunn,AlphaFold2,ESM3-Open,-91.7495,3.071811532542756e-15,True
Dunn,AlphaFold2,ESMFold,-6.7682,0.20666271056805982,False
Dunn,AlphaFold2,Ember3D,-22.4362,2.79491164914579e-05,True
Dunn,AlphaFold3,ESM3-Large,-93.145,4.649068534298862e-12,True
Dunn,AlphaFold3,ESM3-Open,-93.145,4.649068534298862e-12,True
Dunn,AlphaFold3,ESMFold,-8.1637,0.07902469626726015,False
Dunn,AlphaFold3,Ember3D,-23.8317,6.59090702808217e-05,True
Dunn,ESM3-Large,ESM3-Open,0.0,1.0,False
Dunn,ESM3-Large,ESMFold,84.9814,1.2901741277300098e-07,True
Dunn,ESM3-Large,Ember3D,69.3133,0.008361239877123316,True
Dunn,ESM3-Open,ESMFold,84.9814,1.2901741277300098e-07,True
Dunn,ESM3-Open,Ember3D,69.3133,0.008361239877123316,True
Dunn,ESMFold,Ember3D,-15.668,0.3177488543454174,False
